date,item,corporation,location,model,answer
2023-11-01,BC,A,J,ExtraTree,3704.411695824095
2023-11-02,BC,A,J,ExtraTree,3307.397204281936
2023-11-03,BC,A,J,ExtraTree,3335.817969734449
2023-11-04,BC,A,J,ExtraTree,3325.8700472059654
2023-11-05,BC,A,J,ExtraTree,3325.8700472059654
2023-11-06,BC,A,J,ExtraTree,16.684727272727272
2023-11-07,BC,A,J,ExtraTree,3543.8381651801938
2023-11-08,BC,A,J,ExtraTree,3656.7717227220996
2023-11-09,BC,A,J,ExtraTree,3568.7053499682934
2023-11-10,BC,A,J,ExtraTree,3620.3247481066833
2023-11-11,BC,A,J,ExtraTree,3772.9099636798423
2023-11-12,BC,A,J,ExtraTree,3772.9099636798423
2023-11-13,BC,A,J,ExtraTree,4.543125
2023-11-14,BC,A,J,ExtraTree,3411.182024823484
2023-11-15,BC,A,J,ExtraTree,2239.478797714358
2023-11-16,BC,A,J,ExtraTree,2168.1848546010983
2023-11-17,BC,A,J,ExtraTree,1951.048198109574
2023-11-18,BC,A,J,ExtraTree,2074.6138697269794
2023-11-19,BC,A,J,ExtraTree,2074.6138697269794
2023-11-20,BC,A,J,ExtraTree,0.0
2023-11-21,BC,A,J,ExtraTree,3003.475766683293
2023-11-22,BC,A,J,ExtraTree,2254.591664434486
2023-11-23,BC,A,J,ExtraTree,2161.9668716075803
2023-11-24,BC,A,J,ExtraTree,1749.7550790324547
2023-11-25,BC,A,J,ExtraTree,1828.3495005342525
2023-11-26,BC,A,J,ExtraTree,1828.3495005342525
2023-11-27,BC,A,J,ExtraTree,6.964530812324931
2023-11-28,BC,A,J,ExtraTree,3222.534759456914
2023-11-29,BC,A,J,ExtraTree,1866.7551851765256
2023-11-30,BC,A,J,ExtraTree,1784.4654274763548
2023-12-01,BC,A,J,ExtraTree,1847.5353873639374
2023-12-02,BC,A,J,ExtraTree,2107.963163275439
2023-12-03,BC,A,J,ExtraTree,2107.963163275439
2023-12-04,BC,A,J,ExtraTree,5.9684285714285705
2023-12-05,BC,A,J,ExtraTree,2785.9520038710502
2023-12-06,BC,A,J,ExtraTree,1867.37530401152
2023-12-07,BC,A,J,ExtraTree,1748.8979512370265
2023-12-08,BC,A,J,ExtraTree,1690.485922644553
