id,crop_type,supplier,crop_date,crop_supply,crop_price
1,TG,A,2019-01-01,0,0
2,TG,A,2019-01-02,0,0
3,TG,A,2019-01-03,60601,1728
4,TG,A,2019-01-04,25000,1408
5,TG,A,2019-01-05,32352,1250
6,TG,A,2019-01-06,0,0
7,TG,A,2019-01-07,44995,1474
8,TG,A,2019-01-08,26975,1326
9,TG,A,2019-01-09,29265,1428
10,TG,A,2019-01-10,21226,1433
11,TG,A,2019-01-11,25752,1546
12,TG,A,2019-01-12,35488,1374
13,TG,A,2019-01-13,0,0
14,TG,A,2019-01-14,15320,1694
15,TG,A,2019-01-15,40486,1456
16,TG,A,2019-01-16,37623,1470
17,TG,A,2019-01-17,3956,2919
18,TG,A,2019-01-18,39275,1374
19,TG,A,2019-01-19,22295,1330
20,TG,A,2019-01-20,0,0
21,TG,A,2019-01-21,26366,2144
22,TG,A,2019-01-22,27582,2067
23,TG,A,2019-01-23,23029,2149
24,TG,A,2019-01-24,27157,2148
25,TG,A,2019-01-25,32280,2513
26,TG,A,2019-01-26,22324,2629
27,TG,A,2019-01-27,0,0
28,TG,A,2019-01-28,26983,2932
29,TG,A,2019-01-29,24969,2472
30,TG,A,2019-01-30,27852,2377
31,TG,A,2019-01-31,15997,2278
32,TG,A,2019-02-01,36010,2349
33,TG,A,2019-02-02,8808,2286
34,TG,A,2019-02-03,0,0
35,TG,A,2019-02-04,8468,1831
36,TG,A,2019-02-05,0,0
37,TG,A,2019-02-06,0,0
38,TG,A,2019-02-07,0,0
39,TG,A,2019-02-08,0,0
40,TG,A,2019-02-09,2312,2795
41,TG,A,2019-02-10,0,0
42,TG,A,2019-02-11,5791,2612
43,TG,A,2019-02-12,5000,1979
44,TG,A,2019-02-13,5496,2022
45,TG,A,2019-02-14,7219,2323
46,TG,A,2019-02-15,9932,2522
47,TG,A,2019-02-16,4525,1888
48,TG,A,2019-02-17,0,0
49,TG,A,2019-02-18,11360,2089
50,TG,A,2019-02-19,6790,1581
51,TG,A,2019-02-20,4890,2516
52,TG,A,2019-02-21,1309,3730
53,TG,A,2019-02-22,2547,3648
54,TG,A,2019-02-23,4080,2310
55,TG,A,2019-02-24,0,0
56,TG,A,2019-02-25,6895,2998
57,TG,A,2019-02-26,4057,2249
58,TG,A,2019-02-27,3800,1672
59,TG,A,2019-02-28,5540,3841
60,TG,A,2019-03-01,1700,4307
61,TG,A,2019-03-02,1967,4538
62,TG,A,2019-03-03,0,0
63,TG,A,2019-03-04,4891,3992
64,TG,A,2019-03-05,1210,4055
65,TG,A,2019-03-06,3650,4278
66,TG,A,2019-03-07,2295,4165
67,TG,A,2019-03-08,3570,3690
68,TG,A,2019-03-09,550,4838
69,TG,A,2019-03-10,0,0
70,TG,A,2019-03-11,2165,4217
71,TG,A,2019-03-12,1650,3904
72,TG,A,2019-03-13,2850,3686
73,TG,A,2019-03-14,3052,3552
74,TG,A,2019-03-15,5970,3573
75,TG,A,2019-03-16,5870,3541
