ID,answer,date
CB_A_S_20231101,4126.354475,2023-11-01
CB_F_J_20231102,3368.5847,2023-11-02
CB_A_S_20231103,4134.504975,2023-11-03
CB_F_J_20231104,3608.09525,2023-11-04
CB_E_J_20231105,3604.5539,2023-11-05
CB_D_J_20231106,3710.684125,2023-11-06
CB_A_S_20231107,4231.626225,2023-11-07
CB_A_S_20231108,4126.387275,2023-11-08
CB_F_J_20231109,3368.656325,2023-11-09
CB_A_J_20231110,3146.8095000000003,2023-11-10
CB_D_J_20231111,3903.5996,2023-11-11
CB_A_J_20231112,3199.87685,2023-11-12
CB_A_J_20231113,3167.4167,2023-11-13
CB_D_J_20231114,3813.7936,2023-11-14
CB_A_J_20231115,3133.4594,2023-11-15
CB_A_J_20231116,3124.59535,2023-11-16
CB_D_J_20231117,3682.25655,2023-11-17
CB_D_J_20231118,3903.563,2023-11-18
CB_A_J_20231119,3199.72415,2023-11-19
CB_F_J_20231120,3411.3155,2023-11-20
CB_A_S_20231121,4231.7799,2023-11-21
CB_F_J_20231122,3371.590375,2023-11-22
CB_D_J_20231123,3652.96205,2023-11-23
CB_E_J_20231124,3531.583175,2023-11-24
CB_F_J_20231125,3592.2295,2023-11-25
CB_A_S_20231126,4176.98005,2023-11-26
CB_F_J_20231127,3410.979625,2023-11-27
CB_F_J_20231128,3515.1789000000003,2023-11-28
CB_A_J_20231129,3132.9222,2023-11-29
CB_A_J_20231130,3124.7304,2023-11-30
CB_E_J_20231201,3531.3912,2023-12-01
CB_A_J_20231202,3340.7073000000005,2023-12-02
CB_F_J_20231203,3452.53805,2023-12-03
CB_D_J_20231204,3710.0414,2023-12-04
CB_F_J_20231205,3515.1112500000004,2023-12-05
CB_A_J_20231206,3132.95265,2023-12-06
CB_A_J_20231207,3124.75285,2023-12-07
CB_A_S_20231208,4133.5409,2023-12-08
CB_F_J_20231209,3607.354125,2023-12-09
CB_F_J_20231210,3452.550575,2023-12-10
CB_D_J_20231211,3710.2768,2023-12-11
CB_A_J_20231212,3245.17175,2023-12-12
CB_E_J_20231213,3513.18995,2023-12-13
CB_D_J_20231214,3652.775975,2023-12-14
CB_A_J_20231215,3146.54435,2023-12-15
CB_F_J_20231216,3599.647025,2023-12-16
CB_F_J_20231217,3439.196925,2023-12-17
CB_A_J_20231218,3167.769475,2023-12-18
CB_A_S_20231219,4231.535925,2023-12-19
CB_F_J_20231220,3361.833025,2023-12-20
CB_D_J_20231221,3652.704475000001,2023-12-21
CB_E_J_20231222,3531.4878000000003,2023-12-22
CB_A_J_20231223,3339.6566000000003,2023-12-23
CB_A_J_20231224,3200.061325,2023-12-24
CB_E_J_20231225,3562.01255,2023-12-25
CB_D_J_20231226,3814.2921,2023-12-26
CB_F_J_20231227,3359.5858,2023-12-27
CB_A_J_20231228,3124.718325,2023-12-28
CB_D_J_20231229,3682.166825,2023-12-29
CB_F_J_20231230,3591.572625,2023-12-30
CB_D_J_20231231,3753.029525,2023-12-31
