ID,answer,date
CR_A_J_20231101,2253.83815,2023-11-01
CR_D_S_20231102,2272.8778,2023-11-02
CR_E_S_20231103,2270.67695,2023-11-03
CR_E_S_20231104,2263.965925,2023-11-04
CR_A_J_20231105,2252.74135,2023-11-05
CR_B_J_20231106,2211.392625,2023-11-06
CR_D_S_20231107,2266.259625,2023-11-07
CR_A_J_20231108,2254.27805,2023-11-08
CR_D_J_20231109,2216.7136,2023-11-09
CR_A_J_20231110,2253.89285,2023-11-10
CR_B_J_20231111,2206.299075,2023-11-11
CR_E_S_20231112,2268.09735,2023-11-12
CR_E_S_20231113,2269.6601,2023-11-13
CR_E_J_20231114,2211.8533,2023-11-14
CR_E_S_20231115,2271.334,2023-11-15
CR_D_S_20231116,2272.9163,2023-11-16
CR_B_J_20231117,2212.28555,2023-11-17
CR_D_J_20231118,2209.85615,2023-11-18
CR_D_S_20231119,2268.415,2023-11-19
CR_A_J_20231120,2253.94315,2023-11-20
CR_A_J_20231121,2250.7501,2023-11-21
CR_D_J_20231122,2216.366525,2023-11-22
CR_E_J_20231123,2216.9337000000005,2023-11-23
CR_C_J_20231124,2244.90905,2023-11-24
CR_E_S_20231125,2263.971,2023-11-25
CR_A_J_20231126,2252.75135,2023-11-26
CR_A_J_20231127,2253.888,2023-11-27
CR_E_S_20231128,2266.084175,2023-11-28
CR_C_J_20231129,2245.3239,2023-11-29
CR_D_J_20231130,2216.6571750000003,2023-11-30
CR_A_J_20231201,2255.09885,2023-12-01
CR_B_J_20231202,2206.581325,2023-12-02
CR_C_J_20231203,2243.392925,2023-12-03
CR_D_S_20231204,2269.8614,2023-12-04
CR_E_S_20231205,2265.926925,2023-12-05
CR_A_J_20231206,2255.2345,2023-12-06
CR_E_J_20231207,2206.651625,2023-12-07
CR_D_J_20231208,2207.750325,2023-12-08
CR_E_S_20231209,2263.930975,2023-12-09
CR_D_S_20231210,2268.2434000000003,2023-12-10
CR_E_S_20231211,2269.522825,2023-12-11
CR_E_S_20231212,2265.963675,2023-12-12
CR_A_J_20231213,2255.123925,2023-12-13
CR_D_J_20231214,2216.7163,2023-12-14
CR_D_S_20231215,2271.0600750000003,2023-12-15
CR_E_J_20231216,2197.65035,2023-12-16
CR_E_S_20231217,2268.088975,2023-12-17
CR_A_J_20231218,2253.895025,2023-12-18
CR_C_J_20231219,2241.18755,2023-12-19
CR_C_J_20231220,2245.394475,2023-12-20
CR_C_J_20231221,2245.49085,2023-12-21
CR_B_J_20231222,2210.92755,2023-12-22
CR_E_S_20231223,2262.900775,2023-12-23
CR_D_S_20231224,2266.553275,2023-12-24
CR_E_S_20231225,2268.338725,2023-12-25
CR_A_J_20231226,2248.116375,2023-12-26
CR_D_J_20231227,2204.351075,2023-12-27
CR_D_J_20231228,2205.8134250000003,2023-12-28
CR_E_J_20231229,2208.482125,2023-12-29
CR_B_J_20231230,2201.5672,2023-12-30
CR_D_S_20231231,2268.300575,2023-12-31
