ID,answer,date
RD_A_J_20231101,1954.8555,2023-11-01
RD_D_J_20231102,1682.047575,2023-11-02
RD_E_S_20231103,1923.48805,2023-11-03
RD_A_J_20231104,1961.5159,2023-11-04
RD_C_S_20231105,1922.721975,2023-11-05
RD_E_S_20231106,1906.93925,2023-11-06
RD_D_J_20231107,1753.55615,2023-11-07
RD_C_S_20231108,1724.9621499999998,2023-11-08
RD_F_J_20231109,1973.3423,2023-11-09
RD_D_S_20231110,1879.163675,2023-11-10
RD_C_S_20231111,1970.61255,2023-11-11
RD_A_S_20231112,1686.344025,2023-11-12
RD_F_J_20231113,1926.717475,2023-11-13
RD_E_J_20231114,1834.085875,2023-11-14
RD_E_S_20231115,1951.257675,2023-11-15
RD_F_J_20231116,1973.423475,2023-11-16
RD_A_S_20231117,1755.9219999999998,2023-11-17
RD_F_J_20231118,1760.9412,2023-11-18
RD_D_S_20231119,1896.079675,2023-11-19
RD_D_J_20231120,1793.8296,2023-11-20
RD_E_S_20231121,1774.2707999999998,2023-11-21
RD_D_J_20231122,1679.955625,2023-11-22
RD_A_S_20231123,1761.0027249999998,2023-11-23
RD_C_S_20231124,1718.8260249999998,2023-11-24
RD_E_S_20231125,1902.9758,2023-11-25
RD_E_J_20231126,1906.013525,2023-11-26
RD_D_S_20231127,1892.4708,2023-11-27
RD_F_J_20231128,1781.17235,2023-11-28
RD_A_J_20231129,1943.6526,2023-11-29
RD_D_J_20231130,1682.13806,2023-11-30
RD_D_J_20231201,1678.7036,2023-12-01
RD_E_J_20231202,1852.32885,2023-12-02
RD_A_J_20231203,1683.551225,2023-12-03
RD_F_J_20231204,1925.4538,2023-12-04
RD_D_S_20231205,1758.118375,2023-12-05
RD_A_J_20231206,1942.0789,2023-12-06
RD_E_J_20231207,1911.34335,2023-12-07
RD_F_J_20231208,1857.746775,2023-12-08
RD_E_S_20231209,1903.35555,2023-12-09
RD_A_J_20231210,1678.39645,2023-12-10
RD_D_S_20231211,1892.9762,2023-12-11
RD_C_S_20231212,1897.362225,2023-12-12
RD_C_S_20231213,1725.387525,2023-12-13
RD_D_J_20231214,1682.26295,2023-12-14
RD_D_S_20231215,1878.51955,2023-12-15
RD_E_J_20231216,1831.037775,2023-12-16
RD_D_J_20231217,1895.00655,2023-12-17
RD_E_S_20231218,1907.4213250000005,2023-12-18
RD_E_J_20231219,1834.391975,2023-12-19
RD_C_S_20231220,1725.7655,2023-12-20
RD_D_S_20231221,1881.63715,2023-12-21
RD_D_S_20231222,1877.3124,2023-12-22
RD_E_J_20231223,1853.253525,2023-12-23
RD_E_S_20231224,1897.4167,2023-12-24
RD_E_J_20231225,1795.7242,2023-12-25
RD_D_J_20231226,1750.08115,2023-12-26
RD_D_J_20231227,1680.205875,2023-12-27
RD_A_S_20231228,1755.6934,2023-12-28
RD_A_J_20231229,1926.4954,2023-12-29
RD_F_J_20231230,1749.2547499999998,2023-12-30
RD_E_J_20231231,1905.915675,2023-12-31
